bin,scheme,brand,card_type,is_prepaid,country,bank_name,created_at
372342,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372358,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372379,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372392,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372395,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372397,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372408,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372448,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372523,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372525,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372527,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372528,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372532,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372533,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372557,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372559,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372583,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372584,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372588,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372589,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372658,amex,,credit,,PR,AMERICAN EXPRESS,1999-01-08 04:05:06
372684,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372715,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372720,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372725,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372738,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372741,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372760,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372794,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372813,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372816,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372837,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372878,amex,,credit,,US,AMEX,1999-01-08 04:05:06
372890,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
372898,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373039,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373128,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373137,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373190,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373216,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373278,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373320,amex,,credit,,CA,AMERICAN EXPRESS,1999-01-08 04:05:06
373391,amex,,credit,,CA,AMERICAN EXPRESS,1999-01-08 04:05:06
373394,amex,,credit,,CA,AMERICAN EXPRESS,1999-01-08 04:05:06
373470,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373497,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373498,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373728,amex,,credit,,US,AMERICANEXPRESS,1999-01-08 04:05:06
373735,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
373737,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
374188,amex,,credit,,BE,AMERICAN EXPRESS,1999-01-08 04:05:06
374322,amex,,credit,,US,BANK OF AMERICA,1999-01-08 04:05:06
374350,amex,,credit,,US,CITIBANK,1999-01-08 04:05:06
374355,amex,,credit,,US,USAA,1999-01-08 04:05:06
374391,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
374424,amex,,credit,,TR,GARANTI,1999-01-08 04:05:06
374614,amex,,credit,,GB,AMERICAN EXPRESS,1999-01-08 04:05:06
374629,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
374632,amex,,credit,,US,BANK OF AMERICA,1999-01-08 04:05:06
374716,amex,,credit,,US,FIDELITY,1999-01-08 04:05:06
374720,amex,,credit,,US,BANK OF AMERICA,1999-01-08 04:05:06
375001,amex,,credit,,DE,AMERICAN EXPRESS,1999-01-08 04:05:06
375080,amex,,credit,,DE,AMERICAN EXPRESS,1999-01-08 04:05:06
375081,amex,,credit,,DE,AMERICAN EXPRESS,1999-01-08 04:05:06
375135,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
375138,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
375415,amex,,credit,,AU,COMMONWEALTH,1999-01-08 04:05:06
375417,amex,,credit,,NO,AMERICAN EXPRESS,1999-01-08 04:05:06
375699,amex,,credit,,ES,BANCO SABADELL,1999-01-08 04:05:06
376013,amex,,credit,,GB,AMERICAN EXPRESS,1999-01-08 04:05:06
376014,amex,,credit,,GB,AMERICAN EXPRESS,1999-01-08 04:05:06
376064,amex,,credit,,AU,AMERICAN EXPRESS,1999-01-08 04:05:06
376066,amex,,credit,,AU,AMERICAN EXPRESS,1999-01-08 04:05:06
376073,amex,,credit,,AU,AMERICAN EXPRESS,1999-01-08 04:05:06
376212,amex,,credit,,SG,AMERICAN EXPRESS,1999-01-08 04:05:06
376402,amex,,credit,,AR,,1999-01-08 04:05:06
376418,amex,,credit,,AR,AMERICAN EXPRESS,1999-01-08 04:05:06
376437,amex,,credit,,BR,AMERICANEXPRESS,1999-01-08 04:05:06
376439,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376442,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376444,amex,,credit,,BR,AMERICAN EXPRESS,1999-01-08 04:05:06
376446,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376449,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376451,amex,,credit,,AR,AMERICAN EXPRESS,1999-01-08 04:05:06
376458,amex,,credit,,AR,AMERICAN EXPRESS,1999-01-08 04:05:06
376464,amex,,credit,,BR,BANCO BANKPAR S.A.,1999-01-08 04:05:06
376466,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376469,amex,,credit,,GB,AMERICAN EXPRESS,1999-01-08 04:05:06
376473,amex,,credit,,BR,AMERICAN EXPRESS,1999-01-08 04:05:06
376475,amex,,credit,,BR,AMERICAN EXPRESS,1999-01-08 04:05:06
376489,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376493,amex,,credit,,BR,BANCO DO BRASIL,1999-01-08 04:05:06
376522,amex,,credit,,BR,AMERICAN EXPRESS,1999-01-08 04:05:06
376523,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376525,amex,,credit,,BR,AMERICAN EXPRESS,1999-01-08 04:05:06
376528,amex,,credit,,BR,AMERICAN EXPRESS,1999-01-08 04:05:06
376601,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376618,amex,,credit,,BR,HSBC,1999-01-08 04:05:06
376623,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376627,amex,,credit,,BR,AMERICAN EXPRESS,1999-01-08 04:05:06
376628,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
376629,amex,,credit,,BR,AMERICAN EXPRESS,1999-01-08 04:05:06
376650,amex,,credit,,EC,BANCO DE GUAYAQUIL,1999-01-08 04:05:06
376653,amex,,credit,,EC,BANCO DE GUAYAQUIL,1999-01-08 04:05:06
376654,amex,,credit,,EC,BANCO DE GUAYAQUIL,1999-01-08 04:05:06
376659,amex,,credit,,EC,BANCO DE GUAYAQUIL,1999-01-08 04:05:06
376660,amex,,credit,,MX,AMERICAN EXPRESS,1999-01-08 04:05:06
376662,amex,,credit,,MX,AMERICAN EXPRESS,1999-01-08 04:05:06
376669,amex,,credit,,MX,AMERICAN EXPRESS,1999-01-08 04:05:06
376689,amex,,credit,,MX,AMERICAN EXPRESS,1999-01-08 04:05:06
376706,amex,,credit,,MX,AMERICAN EXPRESS,1999-01-08 04:05:06
376718,amex,,credit,,MX,AMERICAN EXPRESS,1999-01-08 04:05:06
376727,amex,,credit,,MX,AMERICAN EXPRESS,1999-01-08 04:05:06
376728,amex,,credit,,MX,AMERICAN EXPRESS,1999-01-08 04:05:06
376730,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376731,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376740,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376746,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376750,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376762,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376767,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376770,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376772,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376781,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376790,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376792,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
376916,amex,,credit,,IN,AMERICAN EXPRESS,1999-01-08 04:05:06
376945,amex,,credit,,IN,AMERICAN EXPRESS,1999-01-08 04:05:06
377038,amex,,credit,,VE,CORP BANCA,1999-01-08 04:05:06
377064,amex,,credit,,GB,LLOYDS,1999-01-08 04:05:06
377130,amex,,credit,,GB,MBNA,1999-01-08 04:05:06
377132,amex,,credit,,GB,MBNA,1999-01-08 04:05:06
377169,amex,,credit,,BR,BRADESCO,1999-01-08 04:05:06
377212,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377214,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377229,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377231,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377232,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377234,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377239,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377240,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377257,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377262,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377264,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377266,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377267,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377269,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377289,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377292,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377293,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377295,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377297,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377299,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
377675,amex,,credit,,SE,AMERICAN EXPRESS,1999-01-08 04:05:06
377747,amex,,credit,,AU,DAVID JONES,1999-01-08 04:05:06
377783,amex,,credit,,JP,SAISON CARD,1999-01-08 04:05:06
377790,amex,,credit,,AR,SANTANDER RIO,1999-01-08 04:05:06
377791,amex,,credit,,AR,SANTANDER RIO,1999-01-08 04:05:06
377792,amex,,credit,,AR,SANTANDER RIO,1999-01-08 04:05:06
377847,amex,,credit,,CO,BANCOLOMBIA,1999-01-08 04:05:06
377852,amex,,credit,,AU,WESTPAC,1999-01-08 04:05:06
378201,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378260,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378264,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378266,amex,,credit,,US,AMAX,1999-01-08 04:05:06
378296,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378312,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378340,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378360,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378363,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378727,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
378750,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379183,amex,,credit,,KR,SAMSUNGCARD,1999-01-08 04:05:06
379362,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379443,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379470,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379483,amex,,credit,,US,AMERICANEXPRESS,1999-01-08 04:05:06
379486,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379607,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379611,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379616,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379617,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379626,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379643,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379651,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379715,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379728,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379734,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
379744,amex,,credit,,US,AMERICAN EXPRESS,1999-01-08 04:05:06
400022,visa,,debit,,US,NAVY FEDERAL CREDIT UNION,1999-01-08 04:05:06
400163,visa,,debit,,BR,BANCO DO BRASIL,1999-01-08 04:05:06
400177,visa,,debit,,US,ELGA CREDIT UNION,1999-01-08 04:05:06
400178,visa,,debit,,BR,BANCO DO BRASIL,1999-01-08 04:05:06
400185,visa,,debit,,BR,BANCO DO BRASIL S.A.,1999-01-08 04:05:06
400217,visa,,credit,,BR,CREDICARD,1999-01-08 04:05:06
400218,visa,,debit,,US,BEACON CREDIT UNION,1999-01-08 04:05:06
400247,visa,,credit,,BR,ITAU,1999-01-08 04:05:06
400248,visa,,credit,,BR,CREDICARD S.A. ADMINISTRADORA DE CARTOESDE CREDITO,1999-01-08 04:05:06
400252,visa,,credit,,BR,CREDICARD,1999-01-08 04:05:06
400344,visa,,credit,,US,CAPITAL ONE,1999-01-08 04:05:06
400388,visa,,credit,,US,TEXAS BANK & TRUST,1999-01-08 04:05:06
400390,visa,,credit,,US,"BANK OF AMERICA, N.A. (USA)",1999-01-08 04:05:06
400544,visa,,debit,,US,PAYCARD,1999-01-08 04:05:06
400548,visa,,debit,,US,USBANK,1999-01-08 04:05:06
400614,visa,,credit,,US,USBANK,1999-01-08 04:05:06
400652,visa,,credit,,BR,ITAU,1999-01-08 04:05:06
400770,visa,,credit,,BR,CAIXA ECONOMICA FEDERAL,1999-01-08 04:05:06
400819,visa,,debit,,MX,BANCOPPEL,1999-01-08 04:05:06
400970,visa,,credit,,BR,CAIXA ECONOMICA FEDERAL,1999-01-08 04:05:06
400998,visa,,debit,,US,FINANCIAL HEALTH FEDERAL CREDIT UNION,1999-01-08 04:05:06
401105,visa,,debit,,US,PENTAGON FEDERAL CREDIT UNION,1999-01-08 04:05:06
401108,visa,,credit,,US,FIRST TECH FEDERAL CREDIT UNION,1999-01-08 04:05:06
401154,visa,,debit,,US,VYSTAR CREDIT UNION,1999-01-08 04:05:06
401171,visa,,debit,,US,DELTA COMMUNITY CREDIT UNION,1999-01-08 04:05:06
401174,visa,,debit,,US,WHITNEY,1999-01-08 04:05:06
401178,visa,,credit,,BR,BANCO DO BRASIL,1999-01-08 04:05:06
401197,visa,,debit,,US,TALBOT,1999-01-08 04:05:06
401350,visa,,debit,,US,Metropolitan Commercial Bank,1999-01-08 04:05:06
401370,visa,,credit,,BR,CAIXA ECONOMICA FEDERAL,1999-01-08 04:05:06
401378,visa,,debit,,US,CONNEX CREDIT UNION,1999-01-08 04:05:06
401398,visa,,credit,,US,USBANK,1999-01-08 04:05:06
401538,visa,,debit,,US,NIHFCU,1999-01-08 04:05:06
401684,visa,,credit,,BR,SAFRA,1999-01-08 04:05:06
401719,visa,,debit,,US,CHELSEA GROTON SAVINGS BANK,1999-01-08 04:05:06
401723,visa,,credit,,US,GROW FINANCIAL FEDERAL CREDIT UNION,1999-01-08 04:05:06
401777,visa,,debit,,US,TD BANKNORTH,1999-01-08 04:05:06
401795,visa,,debit,,AU,,1999-01-08 04:05:06
401804,visa,,credit,,US,CITI,1999-01-08 04:05:06
401901,visa,,credit,,US,BANK OF AMERICA N.A.,1999-01-08 04:05:06
401940,visa,,credit,,US,,1999-01-08 04:05:06
401982,visa,,debit,,US,LA CAPITAL,1999-01-08 04:05:06
402017,visa,,debit,,US,ACNB,1999-01-08 04:05:06
402020,visa,,debit,,US,SECU,1999-01-08 04:05:06
402029,visa,,credit,,MX,INBURSA,1999-01-08 04:05:06
402047,visa,,debit,,US,LGFCU,1999-01-08 04:05:06
402049,visa,,debit,,US,JOHNS HOPKINS FEDERAL CREDIT UNION,1999-01-08 04:05:06
402066,visa,,debit,,US,COASTAL FEDERAL CREDIT UNION,1999-01-08 04:05:06
402140,visa,,debit,,US,FIRST NATIONAL BANK OF MIFFLINTOWN,1999-01-08 04:05:06
402173,visa,,debit,,US,ALAMOSA STATE,1999-01-08 04:05:06
402203,visa,,debit,,US,NORTHWEST,1999-01-08 04:05:06
402278,visa,,credit,,TR,FINANSBANK,1999-01-08 04:05:06
402310,visa,,credit,,TW,CATHAY UNITED,1999-01-08 04:05:06
402318,visa,,credit,,MX,,1999-01-08 04:05:06
402360,visa,,debit,,IT,POSTE ITALIANE S.P.A. (BANCA POSTA),1999-01-08 04:05:06
402367,visa,,debit,,KR,HANA,1999-01-08 04:05:06
402396,visa,,credit,,GB,VANQUIS,1999-01-08 04:05:06
402400,visa,,credit,,US,BANK OF AMERICA,1999-01-08 04:05:06
402411,visa,,credit,,US,BANK OF AMERICA N.A.,1999-01-08 04:05:06
402464,visa,,debit,,US,BANK OF THE OZARKS,1999-01-08 04:05:06
402506,visa,,credit,,MY,MBF CARDS,1999-01-08 04:05:06
402582,visa,,credit,,PK,BANK ALFALAH LIMITED,1999-01-08 04:05:06
402590,visa,,credit,,TR,KUVEYT TURK,1999-01-08 04:05:06
402650,visa,,credit,,US,HALLIBURTON ,1999-01-08 04:05:06
402707,visa,,credit,,US,,1999-01-08 04:05:06
402766,visa,,debit,,MX,BANCO AZTECA ,1999-01-08 04:05:06
402814,visa,,credit,,MY,HONG LEONG,1999-01-08 04:05:06
402826,visa,,credit,,US,,1999-01-08 04:05:06
402918,visa,,credit,,AR,GALICIA,1999-01-08 04:05:06
402944,visa,,debit,,US,TD BANKNORTH,1999-01-08 04:05:06
402988,visa,,credit,,MY,RHBBANK,1999-01-08 04:05:06
403003,visa,,credit,,IT,FINECO,1999-01-08 04:05:06
403116,visa,,credit,,US,CHASE,1999-01-08 04:05:06
403121,visa,,debit,,US,BANK INDEPENDENT,1999-01-08 04:05:06
403142,visa,,debit,,US,UNIVERSITY CREDIT UNION,1999-01-08 04:05:06
403149,visa,,credit,,MY,,1999-01-08 04:05:06
403160,visa,,debit,,US,DADE COUNTY FEDERAL CREDIT UNION,1999-01-08 04:05:06
403164,visa,,debit,,US,CITZENS  COMMUNITY FEDERAL,1999-01-08 04:05:06
403213,visa,,credit,,US,CHASE,1999-01-08 04:05:06
403216,visa,,credit,,US,NAVY FEDERAL CREDIT UNION,1999-01-08 04:05:06
403217,visa,,credit,,BR,CREDICARD,1999-01-08 04:05:06
403225,visa,,credit,,BR,CITIBANK,1999-01-08 04:05:06
403240,visa,,debit,,US,FREEDOM CREDIT UNION,1999-01-08 04:05:06
403247,visa,,credit,,BR,ITAU,1999-01-08 04:05:06
403254,visa,,credit,,BR,CREDICARD,1999-01-08 04:05:06
403265,visa,,credit,,MY,STANDARD CHARTERED,1999-01-08 04:05:06
403283,visa,,debit,,US,SERVICES CREDIT UNION,1999-01-08 04:05:06
403284,visa,,debit,,US,FISCAL CREDIT UNION,1999-01-08 04:05:06
403357,visa,,debit,,HN,BANCO CONTINENTAL,1999-01-08 04:05:06
403461,visa,,debit,,US,NB&T,1999-01-08 04:05:06
403486,visa,,debit,,US,PNC BANK N.A.,1999-01-08 04:05:06
403490,visa,,debit,,US,PNC BANK N.A.,1999-01-08 04:05:06
403493,visa,,debit,,US,PNC BANK N.A.,1999-01-08 04:05:06
403495,visa,,debit,,US,PNCBANK,1999-01-08 04:05:06
403497,visa,,debit,,US,PNC BANK N.A.,1999-01-08 04:05:06
403541,visa,,credit,,PT,BANCO ESPIRITO SANTO E COMERCIAL DE LISBOA,1999-01-08 04:05:06
403623,visa,,debit,,US,BB&T,1999-01-08 04:05:06
403647,visa,,credit,,US,BANK OF AMERICA,1999-01-08 04:05:06
403655,visa,,debit,,US,VANTAGE SOUTH,1999-01-08 04:05:06
403690,visa,,credit,,US,CHASE,1999-01-08 04:05:06
403710,visa,,debit,,US,ROBINS FEDERAL CREDIT UNION,1999-01-08 04:05:06
403766,visa,,credit,,US,U.S. BANK N.A.,1999-01-08 04:05:06
403769,visa,,credit,,US,USBANK,1999-01-08 04:05:06
403784,visa,,credit,,US,USBANK,1999-01-08 04:05:06
403808,visa,,debit,,US,DOW CHEMICAL EMPLOYEES' CREDIT UNION,1999-01-08 04:05:06
403995,visa,,debit,,US,METABANK,1999-01-08 04:05:06
404206,visa,,debit,,US,METROPOLITAN NATIONAL,1999-01-08 04:05:06
404215,visa,,debit,,GH,GUARANTY TRUST,1999-01-08 04:05:06
404280,visa,,credit,,CO,BBVA,1999-01-08 04:05:06
404308,visa,,credit,,TR,GARANTI,1999-01-08 04:05:06
404360,visa,,credit,,MX,INBURSA,1999-01-08 04:05:06
404389,visa,,debit,,US,,1999-01-08 04:05:06
404507,visa,,credit,,US,DUPACO,1999-01-08 04:05:06
404594,visa,,debit,,US,METRO CREDIT UNION,1999-01-08 04:05:06
404601,visa,,credit,,US,BB&T,1999-01-08 04:05:06
404658,visa,,credit,,US,CITI,1999-01-08 04:05:06
404673,visa,,credit,,US,FIRST NATIONAL BANK OF OMAHA,1999-01-08 04:05:06
